indice,dobro,quadrado
1,2,1
2,4,4
3,6,9
4,8,16
5,10,25
6,12,36
7,14,49
8,16,64
9,18,81
10,20,100
11,22,121
12,24,144
13,26,169
14,28,196
15,30,225
16,32,256
17,34,289
18,36,324
19,38,361
20,40,400
21,42,441
22,44,484
23,46,529
24,48,576
25,50,625
26,52,676
27,54,729
28,56,784
29,58,841
30,60,900
31,62,961
32,64,1024
33,66,1089
34,68,1156
35,70,1225
36,72,1296
37,74,1369
38,76,1444
39,78,1521
40,80,1600
41,82,1681
42,84,1764
43,86,1849
44,88,1936
45,90,2025
46,92,2116
47,94,2209
48,96,2304
49,98,2401
50,100,2500
51,102,2601
52,104,2704
53,106,2809
54,108,2916
55,110,3025
56,112,3136
57,114,3249
58,116,3364
59,118,3481
60,120,3600
61,122,3721
62,124,3844
63,126,3969
64,128,4096
65,130,4225
66,132,4356
67,134,4489
68,136,4624
69,138,4761
70,140,4900
71,142,5041
72,144,5184
73,146,5329
74,148,5476
75,150,5625
76,152,5776
77,154,5929
78,156,6084
79,158,6241
80,160,6400
81,162,6561
82,164,6724
83,166,6889
84,168,7056
85,170,7225
86,172,7396
87,174,7569
88,176,7744
89,178,7921
90,180,8100
91,182,8281
92,184,8464
93,186,8649
94,188,8836
95,190,9025
96,192,9216
97,194,9409
98,196,9604
99,198,9801
100,200,10000
101,202,10201
102,204,10404
103,206,10609
104,208,10816
105,210,11025
106,212,11236
107,214,11449
108,216,11664
109,218,11881
110,220,12100
111,222,12321
112,224,12544
113,226,12769
114,228,12996
115,230,13225
116,232,13456
117,234,13689
118,236,13924
119,238,14161
120,240,14400
121,242,14641
122,244,14884
123,246,15129
124,248,15376
125,250,15625
126,252,15876
127,254,16129
128,256,16384
129,258,16641
130,260,16900
131,262,17161
132,264,17424
133,266,17689
134,268,17956
135,270,18225
136,272,18496
137,274,18769
138,276,19044
139,278,19321
140,280,19600
141,282,19881
142,284,20164
143,286,20449
144,288,20736
145,290,21025
146,292,21316
147,294,21609
148,296,21904
149,298,22201
150,300,22500
151,302,22801
152,304,23104
153,306,23409
154,308,23716
155,310,24025
156,312,24336
157,314,24649
158,316,24964
159,318,25281
160,320,25600
161,322,25921
162,324,26244
163,326,26569
164,328,26896
165,330,27225
166,332,27556
167,334,27889
168,336,28224
169,338,28561
170,340,28900
171,342,29241
172,344,29584
173,346,29929
174,348,30276
175,350,30625
176,352,30976
177,354,31329
178,356,31684
179,358,32041
180,360,32400
181,362,32761
182,364,33124
183,366,33489
184,368,33856
185,370,34225
186,372,34596
187,374,34969
188,376,35344
189,378,35721
190,380,36100
191,382,36481
192,384,36864
193,386,37249
194,388,37636
195,390,38025
196,392,38416
197,394,38809
198,396,39204
199,398,39601
200,400,40000
201,402,40401
202,404,40804
203,406,41209
204,408,41616
205,410,42025
206,412,42436
207,414,42849
208,416,43264
209,418,43681
210,420,44100
211,422,44521
212,424,44944
213,426,45369
214,428,45796
215,430,46225
216,432,46656
217,434,47089
218,436,47524
219,438,47961
220,440,48400
221,442,48841
222,444,49284
223,446,49729
224,448,50176
225,450,50625
226,452,51076
227,454,51529
228,456,51984
229,458,52441
230,460,52900
231,462,53361
232,464,53824
233,466,54289
234,468,54756
235,470,55225
236,472,55696
237,474,56169
238,476,56644
239,478,57121
240,480,57600
241,482,58081
242,484,58564
243,486,59049
244,488,59536
245,490,60025
246,492,60516
247,494,61009
248,496,61504
249,498,62001
250,500,62500
251,502,63001
252,504,63504
253,506,64009
254,508,64516
255,510,65025
256,512,65536
257,514,66049
258,516,66564
259,518,67081
260,520,67600
261,522,68121
262,524,68644
263,526,69169
264,528,69696
265,530,70225
266,532,70756
267,534,71289
268,536,71824
269,538,72361
270,540,72900
271,542,73441
272,544,73984
273,546,74529
274,548,75076
275,550,75625
276,552,76176
277,554,76729
278,556,77284
279,558,77841
280,560,78400
281,562,78961
282,564,79524
283,566,80089
284,568,80656
285,570,81225
286,572,81796
287,574,82369
288,576,82944
289,578,83521
290,580,84100
291,582,84681
292,584,85264
293,586,85849
294,588,86436
295,590,87025
296,592,87616
297,594,88209
298,596,88804
299,598,89401
300,600,90000
301,602,90601
302,604,91204
303,606,91809
304,608,92416
305,610,93025
306,612,93636
307,614,94249
308,616,94864
309,618,95481
310,620,96100
311,622,96721
312,624,97344
313,626,97969
314,628,98596
315,630,99225
316,632,99856
317,634,100489
318,636,101124
319,638,101761
320,640,102400
321,642,103041
322,644,103684
323,646,104329
324,648,104976
325,650,105625
326,652,106276
327,654,106929
328,656,107584
329,658,108241
330,660,108900
331,662,109561
332,664,110224
333,666,110889
334,668,111556
335,670,112225
336,672,112896
337,674,113569
338,676,114244
339,678,114921
340,680,115600
341,682,116281
342,684,116964
343,686,117649
344,688,118336
345,690,119025
346,692,119716
347,694,120409
348,696,121104
349,698,121801
350,700,122500
351,702,123201
352,704,123904
353,706,124609
354,708,125316
355,710,126025
356,712,126736
357,714,127449
358,716,128164
359,718,128881
360,720,129600
361,722,130321
362,724,131044
363,726,131769
364,728,132496
365,730,133225
366,732,133956
367,734,134689
368,736,135424
369,738,136161
370,740,136900
371,742,137641
372,744,138384
373,746,139129
374,748,139876
375,750,140625
376,752,141376
377,754,142129
378,756,142884
379,758,143641
380,760,144400
381,762,145161
382,764,145924
383,766,146689
384,768,147456
385,770,148225
386,772,148996
387,774,149769
388,776,150544
389,778,151321
390,780,152100
391,782,152881
392,784,153664
393,786,154449
394,788,155236
395,790,156025
396,792,156816
397,794,157609
398,796,158404
399,798,159201
400,800,160000
401,802,160801
402,804,161604
403,806,162409
404,808,163216
405,810,164025
406,812,164836
407,814,165649
408,816,166464
409,818,167281
410,820,168100
411,822,168921
412,824,169744
413,826,170569
414,828,171396
415,830,172225
416,832,173056
417,834,173889
418,836,174724
419,838,175561
420,840,176400
421,842,177241
422,844,178084
423,846,178929
424,848,179776
425,850,180625
426,852,181476
427,854,182329
428,856,183184
429,858,184041
430,860,184900
431,862,185761
432,864,186624
433,866,187489
434,868,188356
435,870,189225
436,872,190096
437,874,190969
438,876,191844
439,878,192721
440,880,193600
441,882,194481
442,884,195364
443,886,196249
444,888,197136
445,890,198025
446,892,198916
447,894,199809
448,896,200704
449,898,201601
450,900,202500
451,902,203401
452,904,204304
453,906,205209
454,908,206116
455,910,207025
456,912,207936
457,914,208849
458,916,209764
459,918,210681
460,920,211600
461,922,212521
462,924,213444
463,926,214369
464,928,215296
465,930,216225
466,932,217156
467,934,218089
468,936,219024
469,938,219961
470,940,220900
471,942,221841
472,944,222784
473,946,223729
474,948,224676
475,950,225625
476,952,226576
477,954,227529
478,956,228484
479,958,229441
480,960,230400
481,962,231361
482,964,232324
483,966,233289
484,968,234256
485,970,235225
486,972,236196
487,974,237169
488,976,238144
489,978,239121
490,980,240100
491,982,241081
492,984,242064
493,986,243049
494,988,244036
495,990,245025
496,992,246016
497,994,247009
498,996,248004
499,998,249001
500,1000,250000
