Workflow,Ambiente,Repeticao,Tempo_Segundos,Memoria_Pico_MB,Status
Matemática: MDC,Python,1,0.10335040092468262,7.953125,SUCESSO
Matemática: MDC,Python,2,0.05649304389953613,8.12890625,SUCESSO
Matemática: MDC,Python,3,0.07091879844665527,8.06640625,SUCESSO
Matemática: MDC,Python,4,0.06036210060119629,7.57421875,SUCESSO
Matemática: MDC,Python,5,0.07567524909973145,7.08203125,SUCESSO
Matemática: MDC,Python,6,0.5596110820770264,8.74609375,SUCESSO
Matemática: MDC,Python,7,0.05088543891906738,9.2421875,SUCESSO
Matemática: MDC,Python,8,0.05267810821533203,9.1015625,SUCESSO
Matemática: MDC,Python,9,0.10410857200622559,8.83984375,SUCESSO
Matemática: MDC,Python,10,0.06058859825134277,9.15625,SUCESSO
Matemática: MDC,VisTrails,1,1.1949999332427979,10.8359375,SUCESSO
Matemática: MDC,VisTrails,2,0.999000072479248,8.7265625,SUCESSO
Matemática: MDC,VisTrails,3,0.9860000610351562,8.73828125,SUCESSO
Matemática: MDC,VisTrails,4,1.0520000457763672,8.73828125,SUCESSO
Matemática: MDC,VisTrails,5,1.4059998989105225,8.734375,SUCESSO
Matemática: MDC,VisTrails,6,1.4290001392364502,8.734375,SUCESSO
Matemática: MDC,VisTrails,7,1.317000150680542,8.73046875,SUCESSO
Matemática: MDC,VisTrails,8,1.1459999084472656,8.734375,SUCESSO
Matemática: MDC,VisTrails,9,0.9930000305175781,8.734375,SUCESSO
Matemática: MDC,VisTrails,10,1.059000015258789,8.73046875,SUCESSO
Matemática: Fatoracao,Python,1,0.09408354759216309,10.96484375,SUCESSO
Matemática: Fatoracao,Python,2,0.07834529876708984,10.953125,SUCESSO
Matemática: Fatoracao,Python,3,0.06211233139038086,10.94921875,SUCESSO
Matemática: Fatoracao,Python,4,0.07882118225097656,10.19921875,SUCESSO
Matemática: Fatoracao,Python,5,0.3264932632446289,10.95703125,SUCESSO
